City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,suv,automatic,1,red,75,petrol,2018,8.23969,Tata-Nexon
Hyderabad,suv,manual,1,grey,52,diesel,2021,11.88673,Mahindra-XUV 300
Hyderabad,sedan,manual,1,red,82,diesel,2014,5.89,Honda-City
Hyderabad,suv,manual,1,white,69,diesel,2018,8.41566,Honda-WR-V
Hyderabad,hatchback,manual,1,white,120,diesel,2015,5.49,Hyundai-Elite i20
Hyderabad,hatchback,automatic,1,grey,13,petrol,2022,5.42,Maruti Suzuki-S-Presso
Hyderabad,hatchback,manual,1,silver,33,petrol,2022,3.97,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,1,grey,118,diesel,2012,3.19,Maruti Suzuki-Ritz
Hyderabad,hatchback,automatic,1,red,97,diesel,2018,5.68,Maruti Suzuki-Ignis
Hyderabad,hatchback,manual,1,white,78,diesel,2014,4.49,Maruti Suzuki-Swift
Hyderabad,hatchback,manual,1,red,67,petrol,2013,3.60648,Maruti Suzuki-Ritz
Hyderabad,hatchback,automatic,1,grey,28,petrol,2020,6.6747,Maruti Suzuki-Swift
Hyderabad,sedan,manual,1,red,72,diesel,2015,6.58,Honda-City
Hyderabad,hatchback,manual,1,red,112,petrol,2013,3.24,Maruti Suzuki-Wagon R Stingray
Hyderabad,muv,manual,1,white,91,diesel,2017,18.26902,Toyota-Innova Crysta
Hyderabad,hatchback,manual,1,silver,51,petrol,2016,3.29,Renault-Kwid
Hyderabad,hatchback,automatic,1,grey,11,petrol,2022,12.31093,Hyundai-i20 N Line
Hyderabad,sedan,automatic,1,silver,22,petrol,2022,9.0,Maruti Suzuki-Dzire
Hyderabad,hatchback,manual,2,RED PASSION,128,petrol,2015,4.89,Hyundai-Elite i20
